"Afganistán","Afganistán","afganesas"
"Albania","Albania","albanesas"
"Alemania","Alemania","alemanas"
"Alemania del Este","Alemania del Este"
"Alemania del Oeste","Alemania del Oeste"
"Andorra","Andorra","andorranas"
"Angola","Angola","angoleñas"
"Antigua y Barbuda","Antigua y Barbuda"
"Arabia Saudí","Arabia Saudí"
"Argelia","Argelia","argelinas"
"Argentina","Argentina","argentinas"
"Armenia","Armenia","armenias"
"Aruba","Aruba"
"Australia","Australia","australianas"
"Austria","Austria","austriacas"
"Azerbaijan","Azerbaijan"
"Bahamas","Bahamas"
"Bahrein","Bahrein"
"Bangladesh","Bangladesh"
"Barbados","Barbados"
"Bélgica","Bélgica","belgas"
"Belize","Belize"
"Benín","Benín"
"Bielorrusia","Bielorrusia","bielorrusas"
"Bolivia","Bolivia","bolivianas"
"Bosnia y Herzegovina","Bosnia y Herzegovina","bosnias"
"Botswana","Botswana"
"Brasil","Brasil","brasileñas"
"Brunei","Brunei"
"Bulgaria","Bulgaria","búlgaras"
"Burkina Faso","Burkina Faso"
"Burundi","Burundi"
"Bután","Bután"
"Cabo Verde","Cabo Verde"
"Camboya","Camboya","camboyanas"
"Camerún","Camerún","cameruneses"
"Canadá","Canadá","canadienses"
"Chad","Chad"
"Checoslovaquia","Checoslovaquia","checoslovacas"
"Chile","Chile","chilenas"
"China","China","chinas"
"Chipre","Chipre","chipriotas"
"Colombia","Colombia","colombianas"
"Comores","Comores"
"Congo","Congo","congoleñas"
"Corea","Corea","coreanas"
"Corea del Norte","Corea del Norte"
"Corea del Sur","Corea del Sur"
"Costa de Marfil","Costa de Marfil"
"Costa Rica","Costa Rica","costarricenses"
"Croacia","Croacia","croatas"
"Cuba","Cuba","cubanas"
"Dinamarca","Dinamarca"
"Dominica","Dominica"
"Ecuador","Ecuador","ecuatorianas"
"Egipto","Egipto","egipcias"
"El Salvador","El Salvador","salvadoreñas"
"Emiratos Árabes","Emiratos Árabes"
"Eritrea","Eritrea"
"Eslovaquia","Eslovaquia","eslovacas"
"Eslovenia","Eslovenia","eslovenas"
"España","España","españolas"
"Estados Unidos","Estados Unidos","americanas","estadounidenses"
"Estonia","Estonia","estonias"
"Etiopía","Etiopía","etíopes"
"Fidji","Fidji"
"Filipinas","Filipinas","filipinas"
"Finlandia","Finlandia","finlandesas"
"Francia","Francia","francesas"
"Gabón","Gabón"
"Gambia","Gambia"
"Georgia","Georgia"
"Ghana","Ghana","ghanesas"
"Granada","Granada"
"Grecia","Grecia","griegas"
"Groenlandia","Groenlandia"
"Guatemala","Guatemala","guatemaltecas"
"Guinea","Guinea","guineanas"
"Guinea Bissau","Guinea Bissau"
"Guinea Ecuatorial","Guinea Ecuatorial"
"Guyana","Guyana"
"Haití","Haití","haitianas"
"Honduras","Honduras","hondureñas"
"Hong Kong","Hong Kong"
"Hungría","Hungría","húngaras"
"India","India","indias"
"Indonesia","Indonesia","indonesias"
"Irak","Irak"
"Irán","Irán","iraníes"
"Irlanda","Irlanda","irlandesas"
"Islandia","Islandia","islandesas"
"Israel","Israel","israelíes"
"Italia","Italia","italianas"
"Jamaica","Jamaica","jamaicanas"
"Japón","Japón","japonesas"
"Jordania","Jordania","jordanas"
"Kazajstán","Kazajstán"
"Kenia","Kenia","keniatas"
"Kirguistán","Kirguistán"
"Kosovo","Kosovo"
"Kuwait","Kuwait","kuwaitíes"
"Laos","Laos"
"Lesotho","Lesotho"
"Letonia","Letonia","letonas"
"Líbano","Líbano","libanesas"
"Liberia","Liberia"
"Libia","Libia","libias"
"Liechtenstein","Liechtenstein"
"Lituania","Lituania","lituanas"
"Luxemburgo","Luxemburgo"
"Macao","Macao"
"Macedonia","Macedonia","macedonias"
"Madagascar","Madagascar"
"Malasia","Malasia","malasias"
"Malawi","Malawi"
"Maldivas","Maldivas"
"Mali","Mali"
"Malta","Malta","maltesas"
"Marruecos","Marruecos","marroquíes"
"Islas Marshall","Islas Marshall","Marshall"
"Isla Mauricio","Isla Mauricio","Mauricio"
"Mauritania","Mauritania","mauritanas"
"México","México","Méjico"
"Micronesia","Micronesia"
"Moldavia","Moldavia","moldavas"
"Mónaco","Mónaco","monegascas"
"Mongolia","Mongolia","mongolas"
"Montenegro","Montenegro","montenegrinas"
"Mozambique","Mozambique","mozambiqueñas"
"Myanmar","Myanmar","Birmania"
"Namibia","Namibia"
"Nepal","Nepal","nepalíes"
"Nicaragua","Nicaragua","nicaragüenses"
"Níger","Níger"
"Nigeria","Nigeria","nigerianas"
"Noruega","Noruega","noruegas"
"Nueva Zelanda","Nueva Zelanda","neozelandesas"
"Omán","Omán"
"Países Bajos","Países Bajos","Holanda","holandesas"
"Palau","Palau"
"Palestina","Palestina","palestinas"
"Panamá","Panamá","panameñas"
"Papuasia Nueva Guinea","Papuasia Nueva Guinea"
"Paquistán","Paquistán","paquistaníes"
"Paraguay","Paraguay","paraguayas"
"Perú","Perú","peruanas"
"Polonia","Polonia","polacas"
"Portugal","Portugal","portuguesas"
"Puerto Rico","Puerto Rico","puertorriqueñas"
"Qatar","Qatar","cataríes"
"Reino Unido","Reino Unido","inglesas"
"República Árabe Saharaui Democrática","República Árabe Saharaui Democrática"
"República Centroafricana","República Centroafricana"
"República Dominicana","República Dominicana","dominicanas"
"República Checa","República Checa","checas"
"República del Congo","República del Congo"
"Ruanda","Ruanda"
"Rumanía","Rumanía","rumanas"
"Rusia","Rusia","rusas"
"Samoa","Samoa"
"San Marino","San Marino"
"Santo Tomé y Príncipe","Santo Tomé y Príncipe"
"Senegal","Senegal"
"Serbia","Serbia","serbias"
"Serbia y Montenegro","Serbia y Montenegro"
"Seychelles","Seychelles"
"Sierra Leona","Sierra Leona"
"Singapur","Singapur"
"Siria","Siria","sirias"
"Somalia","Somalia","somalíes"
"Sri Lanka","Sri Lanka"
"Sudáfrica","Sudáfrica","sudafricanas"
"Sudán","Sudán"
"Sudán del Sur","Sudán del Sur"
"Suecia","Suecia","suecas"
"Suiza","Suiza","suizas"
"Surinam","Surinam"
"Swazilandia","Swazilandia"
"Tailandia","Tailandia","tailandesas"
"Taiwán","Taiwán","taiwanesas"
"Tajikistan","Tajikistan"
"Tanzania","Tanzania"
"Timor Oriental","Timor Oriental"
"Togo","Togo"
"Trinidad y Tobago","Trinidad y Tobago"
"Túnez","Túnez","tunecinas"
"Turkmenistán","Turkmenistán"
"Turquía","Turquía","turcas"
"Ucrania","Ucrania","ucranianas"
"Uganda","Uganda"
"Unión Soviética","Unión Soviética"
"Uruguay","Uruguay","uruguayas"
"Uzbekistan","Uzbekistan","uzbecas"
"Vanuatu","Vanuatu"
"Venezuela","Venezuela","vemezolanas"
"Vietnam","Vietnam","vietnamitas"
"Yemen","Yemen","yemeníes"
"Yugoslavia","Yugoslavia","yugoslavas"
"Zambia","Zambia"
"Zimbabwe","Zimbabwe","zimbabuenses"
